id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/218963,01010000009C9E37489A295AC070617703CA394940,POL:PPOLE:C192592,,POWER,LOC_C6193973,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/219350,0101000000F8267602542A5AC088CAD8A0543A4940,POL:PPOLE:C214446,,POWER,LOC_C6215432,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219452,0101000000E82F45D010295AC018604162873A4940,POL:PPOLE:C197447,,POWER,LOC_C6198690,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219457,010100000094FE7C60892A5AC0A0EC7896D73A4940,POL:PPOLE:C200727,,POWER,LOC_C6201918,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219458,01010000001C6A7806CF285AC088B7098F673B4940,POL:PPOLE:C188489,,POWER,LOC_C6189994,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219459,01010000009842820AD0285AC0B0E076BCD73B4940,POL:PPOLE:C188506,,POWER,LOC_C6190009,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219463,0101000000B8BFC86B28295AC0A8C43D4F693A4940,POL:PPOLE:C199106,,POWER,LOC_C6200333,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219480,0101000000CC94F7EDFB285AC008FC591AE23B4940,POL:PPOLE:C186965,,POWER,LOC_C6188552,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219483,010100000050E810C6FC285AC0E816291D373B4940,POL:PPOLE:C197349,,POWER,LOC_C6198592,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219496,0101000000C466F863DB285AC0E020100B5C3B4940,POL:PPOLE:C188899,,POWER,LOC_C6190383,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219523,0101000000BC92FF570A295AC07880937FC33A4940,POL:PPOLE:C196697,,POWER,LOC_C6197942,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219529,0101000000B0F7F87028295AC068897430BC3A4940,POL:PPOLE:C200989,,POWER,LOC_C6202178,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219534,01010000002432619EEF285AC050F5F6179C3B4940,POL:PPOLE:C187318,,POWER,LOC_C6188882,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219550,01010000009CAA7D659E295AC0A043F499633B4940,POL:PPOLE:C220594,,POWER,LOC_C6221535,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219580,01010000006C09AC5B9E295AC0506B8348033C4940,POL:PPOLE:C227421,,POWER,LOC_C6228269,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219583,01010000001421D2F558295AC0F045A961583C4940,POL:PPOLE:C192105,,POWER,LOC_C6193489,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219586,01010000004011B899FD2A5AC0606D7C287C3A4940,POL:PPOLE:C220320,,POWER,LOC_C6221259,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
