id,location,name,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id
Structure1_WGS84/47078,0101000000A8E7473D301D5AC0284B73B9EE664940,TOWER:TOWER::6844976,Fixed,IPL,,,STHYSK,,STHYSK01,SASKTEL,2012,,,,0010,960771
Structure1_WGS84/47079,01010000001CF3BAAB822A5AC038C1334BC93D4940,TOWER:TOWER::7073772,Fixed,IPL,,,REGNSK,,REGNSK04,SASKTEL,2011,,,,,0
Structure1_WGS84/47080,0101000000E86C24B049585AC070761ABF29564940,TOWER:TOWER::7081115,Fixed,IPL,,,BTHNSK,FNDLSK03,BTHNSK02,SASKTEL,2013,61M GUYED CELL TOWER,,,0010,970886
Structure1_WGS84/47084,0101000000B8A68EF5975B5AC0E024D0443EA94940,TOWER:TOWER:C109631,Fixed,IPL,,,IMPRSK,IMPRSK03,IMPRSK02,SASKTEL,,,,,,
Structure1_WGS84/47085,01010000008C15A43500135AC0C0095FAEB1AF4940,TOWER:TOWER:C157535,Fixed,IPL,,,PNCHSK,PNCHSK01,PNCHSK01,SASKTEL,,,,,,
Structure1_WGS84/47086,01010000007C280685B7DC59C068DEABA234354940,TOWER:TOWER:C127637,Fixed,IPL,,,SNTLSK,SNTLSK02,SNTLSK01,SASKTEL,,,,,,
Structure1_WGS84/47088,010100000028FFF27A24895AC050BE74BB60AF4940,TOWER:TOWER:C95484,Fixed,IPL,,,DVSNSK,BLWOSK02,BLWOSK02,SASKTEL,,,,,,
Structure1_WGS84/47089,010100000054B5E6BF2EBB59C008D17224402F4940,TOWER:TOWER:C141482,Fixed,IPL,,,GRNFSK,GRNFSK03,GRNFSK01,SASKTEL,,,,,,
Structure1_WGS84/47090,010100000030860CC0B3EE59C010939856B95F4940,TOWER:TOWER:C133816,Fixed,IPL,,,FTQPSK,FTQPSK05,FTQPSK01,SASKTEL,,,,,,
Structure1_WGS84/47091,010100000098872DEC52F259C0C8E8C2AD1A644940,TOWER:TOWER:C134085,Fixed,IPL,,,FTQPSK,FTQPSK03,FTQPSK01,SASKTEL,,,,,,
Structure1_WGS84/47092,01010000008CFEC7A4673D5AC020EDCAC4738A4940,TOWER:TOWER:C122103,Fixed,IPL,,,STBGSK,STBGSK04,STBGSK01,SASKTEL,,,,,,
Structure1_WGS84/47093,010100000064ED63C322645AC0088719B2EB6B4940,TOWER:TOWER:C93628,Fixed,IPL,,,BTHNSK,CHBLSK02,CHBLSK01,SASKTEL,,,,,,
Structure1_WGS84/47126,0101000000FCED631963BB59C0A845D047C2344940,OWER:TOWER::11041484,Fixed,IPL,,,GRNFSK,GRNFSK01,GRNFSK01,SASKTEL,2020,,,,0000,810401
