id,name,in_structure,out_structure
ug_route/159298,OSP:BUSP:C258761,st_struct_pedestal/66827,st_struct_pedestal/66886
ug_route/159299,OSP:BUSP::12730187,st_struct_pedestal/66923,st_struct_pedestal/67004
ug_route/159300,OSP:BUSP::12776328,st_struct_pedestal/66827,mywcom_route_junction/20814
ug_route/159301,OSP:FBSP::8556479,building/48707,mywcom_route_junction/20849
ug_route/159302,OSP:BUSP::12358972,st_struct_pedestal/66940,st_struct_pedestal/66999
ug_route/159303,OSP:BUSP::12736585,st_struct_pedestal/67002,st_struct_pedestal/66845
ug_route/159304,OSP:BUSP::12736290,st_struct_pedestal/67008,mywcom_route_junction/20859
ug_route/159305,OSP:FBSP:C269803,mywcom_route_junction/20809,st_struct_pedestal/67000
ug_route/159306,OSP:BUSP::12807927,st_struct_pedestal/66821,mywcom_route_junction/20819
ug_route/159307,OSP:BUSP::12358357,st_struct_pedestal/66829,mywcom_route_junction/20835
ug_route/159308,OSP:BUSP::12358063,mywcom_route_junction/20810,st_struct_pedestal/66902
ug_route/159309,OSP:FBSP:C263546,st_struct_pedestal/66911,st_struct_pedestal/66851
ug_route/159310,OSP:BUSP::12807933,mywcom_route_junction/20856,st_struct_pedestal/66870
ug_route/159311,OSP:BUSP::12358965,st_struct_pedestal/66888,mywcom_route_junction/20800
ug_route/159312,OSP:FORSP::14391643,mywcom_route_junction/20808,mywcom_route_junction/20844
ug_route/159313,OSP:BUSP::12736287,st_struct_pedestal/66938,mywcom_route_junction/20822
ug_route/159314,OSP:FBSP:C262936,st_struct_pedestal/66980,building/48712
ug_route/159315,OSP:BUSP::12358019,st_struct_pedestal/66911,st_struct_pedestal/66851
ug_route/159316,OSP:BUSP::12358432,st_struct_pedestal/67000,mywcom_route_junction/20869
ug_route/159317,OSP:FORSP::14391641,mywcom_route_junction/20831,mywcom_route_junction/20821
ug_route/159318,OSP:FBSP:C258570,mywcom_route_junction/20874,st_struct_pedestal/66975
ug_route/159319,OSP:BUSP::12734021,st_struct_pedestal/66922,st_struct_pedestal/66905
ug_route/159320,OSP:FBSP:C256813,st_struct_pedestal/66876,st_struct_pedestal/67018
ug_route/159321,OSP:FBSP::8691340,st_struct_pedestal/67022,st_struct_pedestal/66949
