id,name,in_structure,out_structure
oh_route/93717,OSP:MESS:C652725,pole/53809,pole/53770
oh_route/93718,OSP:MESS:C637154,pole/52678,pole/52837
oh_route/93719,OSP:MESS:C639942,pole/52503,pole/52589
oh_route/93720,OSP:MESS:C642168,pole/52775,pole/54037
oh_route/93721,OSP:MESS:C653761,pole/54327,pole/53607
oh_route/93722,OSP:MESS:C639841,pole/52567,pole/53210
oh_route/93723,OSP:MESS:C653853,pole/54294,pole/53198
oh_route/93724,OSP:MESS:C648083,pole/52470,pole/53205
oh_route/93725,OSP:MESS:C647946,pole/52796,pole/52307
oh_route/93726,OSP:MESS:C656957,pole/52613,pole/52535
oh_route/93727,OSP:MESS:C644778,mywcom_route_junction/27310,pole/54387
oh_route/93728,OSP:MESS:C644770,pole/54113,pole/53904
oh_route/93729,OSP:MESS:C640067,pole/53981,pole/52727
oh_route/93730,OSP:MESS:C640249,pole/54547,pole/53965
oh_route/93731,OSP:MESS:C640902,pole/53603,pole/53587
oh_route/93732,OSP:MESS:C658355,pole/54073,pole/52974
oh_route/93733,OSP:MESS::8097102,pole/52982,pole/53133
oh_route/93734,OSP:MESS:C647872,pole/53550,pole/52247
oh_route/93735,OSP:MESS::8091023,pole/52814,pole/53828
oh_route/93736,OSP:MESS::8097100,pole/54474,pole/53061
oh_route/93737,OSP:MESS:C657177,pole/54022,pole/52853
oh_route/93738,OSP:MESS:C652528,pole/53808,pole/53903
oh_route/93739,OSP:MESS:C649539,pole/52702,pole/52799
oh_route/93740,OSP:MESS:C651243,pole/52311,pole/53334
oh_route/93741,OSP:MESS:C646354,pole/53172,pole/53722
oh_route/93742,OSP:MESS:C642202,pole/54106,pole/52934
oh_route/93743,OSP:MESS:C648167,pole/53394,pole/52447
oh_route/93744,OSP:MESS:C641144,pole/52344,pole/53442
oh_route/93745,OSP:MESS:C640589,pole/53963,pole/53386
oh_route/93746,OSP:MESS:C667734,pole/53357,pole/53957
oh_route/93747,OSP:MESS:C654254,pole/53348,pole/53618
oh_route/93748,OSP:MESS:C646398,pole/54048,pole/52932
oh_route/93749,OSP:MESS:C648477,pole/53104,pole/54036
oh_route/93750,OSP:MESS:C636538,pole/54151,pole/54074
oh_route/93751,OSP:MESS::8127545,pole/53415,pole/53550
oh_route/93752,OSP:MESS::8092305,pole/52675,pole/52434
oh_route/93753,OSP:MESS:C641646,pole/53999,pole/52442
oh_route/93754,OSP:MESS:C652412,pole/53072,pole/52862
oh_route/93755,OSP:MESS::8157649,mywcom_route_junction/28214,pole/52799
oh_route/93756,OSP:MESS:C651907,pole/53435,pole/54292
oh_route/93757,OSP:MESS::16013386,pole/54466,mywcom_route_junction/27288
oh_route/93758,OSP:MESS:C640063,pole/52325,pole/54121
oh_route/93759,OSP:MESS:C644473,pole/52662,pole/54280
oh_route/93760,OSP:MESS:C639948,pole/53060,pole/54118
oh_route/93761,OSP:MESS:C642196,pole/53629,pole/53835
oh_route/93762,OSP:MESS::8097749,pole/53425,pole/52694
oh_route/93763,OSP:MESS:C641129,pole/52732,pole/53129
oh_route/93764,OSP:MESS:C657175,pole/52863,pole/53054
oh_route/93765,OSP:MESS:C666151,pole/53631,pole/52754
oh_route/93766,OSP:MESS:C646287,pole/54272,pole/53919
oh_route/93767,OSP:MESS:C648157,pole/53578,pole/52456
oh_route/93768,OSP:MESS:C648162,pole/52490,pole/53493
oh_route/93769,OSP:MESS::8189717,pole/52481,pole/52399
oh_route/93770,OSP:MESS:C644793,pole/53549,pole/53314
oh_route/93771,OSP:MESS:C640066,pole/54121,pole/53981
oh_route/93772,OSP:MESS:C666152,pole/52754,pole/53674
oh_route/93773,OSP:MESS::8081814,pole/52825,pole/52948
oh_route/93774,OSP:MESS:C705414,pole/53278,building/68014
oh_route/93775,OSP:MESS:C646358,pole/53649,pole/53127
oh_route/93776,OSP:MESS::8215506,pole/53737,pole/53297
oh_route/93777,OSP:MESS:C654256,pole/52664,pole/53189
oh_route/93778,OSP:MESS:C640677,pole/53922,pole/53662
oh_route/93779,OSP:MESS:C657176,pole/53054,pole/54022
oh_route/93780,OSP:MESS:C650061,pole/53164,pole/53330
oh_route/93781,OSP:MESS:C636959,pole/54170,pole/54250
oh_route/93782,OSP:MESS:C657653,pole/52843,pole/54271
oh_route/93783,OSP:MESS:C643363,pole/53443,pole/53783
oh_route/93784,OSP:MESS:C646341,pole/54284,pole/53849
oh_route/93785,OSP:MESS::8456466,pole/52312,pole/53454
oh_route/93786,OSP:MESS:C641662,pole/53272,pole/53367
oh_route/93787,OSP:MESS:C644680,pole/52975,pole/53829
oh_route/93788,OSP:MESS:C640898,pole/53652,pole/53153
oh_route/93789,OSP:MESS::8088781,pole/52622,pole/52442
oh_route/93790,OSP:MESS:C644278,pole/53906,pole/53546
oh_route/93791,OSP:MESS:C666413,pole/53447,pole/53880
oh_route/93792,OSP:MESS:C636854,pole/54449,pole/52969
oh_route/93793,OSP:MESS:C651629,pole/52384,mywcom_route_junction/27617
oh_route/93794,OSP:MESS:C636549,pole/52976,pole/54002
oh_route/93795,OSP:MESS:C647629,pole/53902,pole/53264
oh_route/93796,OSP:MESS:C653884,pole/53511,pole/52907
oh_route/93797,OSP:MESS:C651843,pole/53295,building/68801
oh_route/93798,OSP:MESS:C644845,pole/53178,pole/53187
oh_route/93799,OSP:MESS:C636276,pole/52994,pole/52235
oh_route/93800,OSP:MESS:C705292,pole/54496,pole/53563
oh_route/93801,OSP:MESS:C653462,pole/54208,pole/53183
oh_route/93802,OSP:MESS:C710170,pole/53907,pole/52324
oh_route/93803,OSP:MESS:C647983,pole/52441,pole/53696
oh_route/93804,OSP:MESS:C647512,pole/52417,pole/52602
oh_route/93805,OSP:MESS:C660757,pole/53088,pole/52428
oh_route/93806,OSP:MESS:C710050,pole/53662,building/67553
oh_route/93807,OSP:MESS:C646479,pole/52583,pole/52634
oh_route/93808,OSP:MESS:C660322,pole/53474,pole/54518
oh_route/93809,OSP:MESS:C641655,pole/53916,pole/52591
oh_route/93810,OSP:MESS:C636551,pole/54002,pole/53424
oh_route/93811,OSP:MESS:C653663,pole/53842,building/66665
oh_route/93812,OSP:MESS::9419188,building/66964,pole/54226
oh_route/93813,OSP:MESS:C657655,pole/54328,pole/53891
oh_route/93814,OSP:MESS:C645079,pole/52345,pole/54532
oh_route/93815,OSP:MESS:C657036,pole/52535,pole/52852
oh_route/93816,OSP:MESS:C644585,pole/52800,pole/53412
oh_route/93817,OSP:MESS:C654945,pole/53411,pole/53540
oh_route/93818,OSP:MESS:C640259,pole/54463,pole/53926
oh_route/93819,OSP:MESS:C657111,pole/53155,pole/52967
oh_route/93820,OSP:MESS:C652360,pole/52295,pole/54098
oh_route/93821,OSP:MESS:C640351,pole/53648,pole/53390
oh_route/93822,OSP:MESS::8146080,pole/54534,pole/53162
oh_route/93823,OSP:MESS:C667055,pole/54029,pole/54353
oh_route/93824,OSP:MESS:C647948,pole/53358,pole/52980
oh_route/93825,OSP:MESS:C640271,pole/53112,pole/53283
oh_route/93826,OSP:MESS:C643458,pole/53539,pole/54446
oh_route/93827,OSP:MESS:C655119,pole/54081,pole/52646
oh_route/93828,OSP:MESS::8081823,pole/54452,pole/53952
oh_route/93829,OSP:MESS:C651945,pole/53435,pole/54152
oh_route/93830,OSP:MESS:C641139,pole/53557,pole/53338
oh_route/93831,OSP:MESS:C640668,pole/53875,pole/53997
oh_route/93832,OSP:MESS:C658367,pole/53236,pole/53476
oh_route/93833,OSP:MESS:C646515,pole/53309,pole/54331
oh_route/93834,OSP:MESS::8092617,pole/52336,pole/53076
oh_route/93835,OSP:MESS:C651932,pole/53425,pole/53918
oh_route/93836,OSP:MESS:C655107,pole/54574,building/67779
oh_route/93837,OSP:MESS::8097103,pole/53351,pole/52587
oh_route/93838,OSP:MESS:C651886,pole/53133,pole/52972
oh_route/93839,OSP:MESS:C646392,pole/52397,pole/52400
oh_route/93840,OSP:MESS::8081820,pole/52935,pole/52873
oh_route/93841,OSP:MESS:C649492,pole/53418,pole/52877
oh_route/93842,OSP:MESS:C644406,pole/52451,pole/54061
oh_route/93843,OSP:MESS:C669631,pole/53634,pole/52391
oh_route/93844,OSP:MESS:C646518,pole/54331,pole/52756
oh_route/93845,OSP:MESS:C647529,pole/53799,pole/53097
oh_route/93846,OSP:MESS:C638974,pole/54281,pole/52263
oh_route/93847,OSP:MESS:C638870,pole/53238,pole/53043
oh_route/93848,OSP:MESS:C648007,pole/53320,pole/53725
oh_route/93849,OSP:MESS:C657658,pole/53161,pole/53856
oh_route/93850,OSP:MESS:C710185,pole/53817,pole/52310
oh_route/93851,OSP:MESS:C658280,pole/52692,pole/54513
oh_route/93852,OSP:MESS:C651571,pole/53492,pole/53012
oh_route/93853,OSP:MESS:C653870,pole/53898,pole/54404
oh_route/93854,OSP:MESS::8167516,pole/53217,pole/54310
oh_route/93855,OSP:MESS:C651976,pole/53362,pole/52342
oh_route/93856,OSP:MESS:C648166,pole/52532,pole/53394
oh_route/93857,OSP:MESS::17055380,pole/54510,pole/53149
oh_route/93858,OSP:MESS:C655105,pole/52659,building/67246
oh_route/93859,OSP:MESS:C644470,pole/53562,pole/54293
oh_route/93860,OSP:MESS:C644855,pole/53387,pole/54079
oh_route/93861,OSP:MESS:C646391,pole/53433,pole/52397
oh_route/93862,OSP:MESS:C651892,pole/52445,pole/54140
oh_route/93863,OSP:MESS:C647519,pole/52785,pole/53934
oh_route/93864,OSP:MESS:C646471,pole/53609,pole/54453
oh_route/93865,OSP:MESS:C704838,pole/52640,pole/52780
oh_route/93866,OSP:MESS:C639904,pole/53831,pole/52409
oh_route/93867,OSP:MESS::8092307,pole/52434,pole/52499
oh_route/93868,OSP:MESS:C667873,pole/54097,pole/54405
oh_route/93869,OSP:MESS:C652782,pole/54566,building/67343
oh_route/93870,OSP:MESS:C652696,pole/53908,pole/52846
oh_route/93871,OSP:MESS::8123980,pole/52563,pole/53504
oh_route/93872,OSP:MESS:C652370,pole/52765,pole/53738
oh_route/93873,OSP:MESS:C657627,pole/53364,pole/54120
oh_route/93874,OSP:MESS:C706779,pole/53796,pole/52723
oh_route/93875,OSP:MESS::8171991,pole/53908,pole/53444
