id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/201493,0102000000020000003890ACFED3F15AC010954DF32D25494014EF8018CCF15AC0C0B6095A35254940,pole/54250,pole/52677,OSP:MESS:C636960,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,Height captured on 20/07/10 17:39 by PoffB1,,,,,,
oh_route/218532,010200000002000000B0E7CB0898F35AC0983A303C93254940506F06B290F35AC0D088B2879B254940,pole/52382,pole/52668,OSP:MESS:C640099,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/410348,010200000002000000E47545A2D0E95AC0104C069E805449409047E932D2E95AC0C05826038D544940,pole/54274,pole/54576,OSP:MESS:C642429,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/74283,0102000000020000009047E932D2E95AC0C05826038D544940B8D3B4C3D3E95AC0B885056999544940,pole/54576,pole/54084,OSP:MESS:C642430,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/21931,0102000000020000003C946310CAE95AC030C3B9D2A75449400C4D8031C0E95AC090510513A7544940,pole/53628,pole/53762,OSP:MESS:C642433,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/521930,010200000002000000BCD15EE247F45AC0E8EECBEA342449405025F8163EF45AC030D9BA3934244940,pole/54233,pole/53139,OSP:MESS:C662408,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,ROOKP2,2023-02-09T10:52:29
oh_route/128637,010200000002000000401171C4B1EA5AC048549088B1544940A0EE99ABBAEA5AC0187B430FAC544940,pole/54505,pole/52420,OSP:MESS:C642318,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/91645,0102000000020000005C69535461EA5AC080E9C507B8544940E0300A156BEA5AC0E0DA14F2B5544940,pole/53518,pole/54156,OSP:MESS:C642363,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:31
oh_route/610135,010200000002000000802F4AA53FEF5AC0A03C2989A80D4940A002F5A03FEF5AC0201CCAF59B0D4940,pole/54240,pole/53938,OSP:MESS:C657620,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,WYMRSK02,,,,,,HUNTG1,2024-08-22T09:48:57
oh_route/396066,01020000000200000054C50A6DEFF35AC0388A88DC78244940DCF0CC15EFF35AC068D73B4B6C244940,pole/53267,pole/54111,OSP:MESS:C652588,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/628340,010200000004000000F81D927305F35AC0D02D372F0623494010FB5A5005F35AC058E15F0906234940843CDDD4FBF25AC0409684FF0523494038FC72BCFBF25AC090C11F2506234940,pole/52485,pole/52229,OSP:MESS::8143509,MESSENGER,MESSENGER,IPL,,Aerial Fiber,42.300000000000004,SASKTEL,,SWCRSK02,,2014,974757,,,THUND1,2023-11-02T00:01:15
oh_route/739792,0102000000020000009CFC8AF39FEA5AC0106B5B7BBC544940744394DBA8EA5AC0987DA701B7544940,pole/54197,pole/53793,OSP:MESS:C642312,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/483882,01020000000200000098CD85BF96EA5AC02014E29EA254494054CAF0A79FEA5AC020963A269D544940,pole/53595,pole/54253,OSP:MESS:C642374,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
