id,name,in_structure,out_structure
ug_route/165551,OSP:FBSP::15352917,st_struct_pedestal/68103,building/49842
ug_route/165552,OSP:BUSP:C660118,st_struct_pedestal/68081,building/49846
ug_route/165553,OSP:BUSP:C656561,st_struct_pedestal/69234,building/48840
ug_route/165554,OSP:BUSP::16017215,st_struct_pedestal/68537,building/49271
ug_route/165555,OSP:BUSP::15982973,pole/40843,building/49088
ug_route/165556,OSP:FBSP:C661279,mywcom_route_junction/21404,building/50471
ug_route/165557,OSP:FBSP:C709980,st_struct_buried_splice_location/2680,building/49854
ug_route/165558,OSP:BUSP::9532671,st_struct_pedestal/67330,mywcom_route_junction/21771
ug_route/165559,OSP:BUSP:C658790,st_struct_pedestal/67061,building/50236
ug_route/165560,OSP:BUSP:C658181,st_struct_pedestal/70348,building/49276
ug_route/165561,OSP:BUSP:C639822,st_struct_pedestal/69476,building/51050
ug_route/165562,OSP:FBSP:C654276,building/49892,mywcom_route_junction/21742
ug_route/165563,OSP:BUSP:C667179,st_struct_pedestal/70083,st_struct_pedestal/68216
ug_route/165564,OSP:BUSP:C641324,st_struct_pedestal/67379,building/51208
ug_route/165565,OSP:BUSP::9450750,st_struct_pedestal/69455,st_struct_pedestal/69940
ug_route/165566,OSP:BUSP:C647270,st_struct_pedestal/69817,building/50358
ug_route/165567,OSP:FBSP:C654278,mywcom_route_junction/21644,building/49892
ug_route/165568,OSP:BUSP:C656762,st_struct_pedestal/69183,building/49510
ug_route/165569,OSP:BUSP:C655171,st_struct_pedestal/68647,building/49752
ug_route/165570,OSP:BUSP:C647449,st_struct_pedestal/67210,building/50446
ug_route/165571,OSP:BUSP:C659217,st_struct_pedestal/70145,building/50092
ug_route/165572,OSP:BUSP:C649733,st_struct_pedestal/69834,building/49650
ug_route/165573,OSP:BUSP:C665096,mywcom_route_junction/21405,mywcom_route_junction/21547
ug_route/165574,OSP:FBSP:C634118,mywcom_route_junction/21436,building/48814
ug_route/165575,OSP:BUSP:C655383,st_struct_pedestal/68127,building/49949
ug_route/165576,OSP:BUSP:C681745,st_struct_pedestal/68360,building/50181
ug_route/165577,OSP:FBSP:C652853,pole/41804,building/51289
ug_route/165578,OSP:BUSP:C656737,st_struct_pedestal/68832,st_struct_pedestal/67629
ug_route/165579,OSP:BUSP:C656892,st_struct_pedestal/70607,building/49661
ug_route/165580,OSP:BUSP:C671197,st_struct_pedestal/70263,st_struct_buried_splice_location/2618
ug_route/165581,OSP:BUSP:C645852,st_struct_pedestal/67589,building/50757
ug_route/165582,OSP:BUSP::7622216,st_struct_pedestal/70438,building/50174
ug_route/165583,OSP:BUSP:C655492,st_struct_pedestal/69608,st_struct_pedestal/68104
ug_route/165584,OSP:BUSP:C661040,st_struct_pedestal/68102,st_struct_pedestal/70103
ug_route/165585,OSP:BUSP:C648553,st_struct_pedestal/68702,building/49682
ug_route/165586,OSP:BUSP::15126673,pole/40842,mywcom_route_junction/22000
ug_route/165587,OSP:BUSP:C659295,st_struct_pedestal/67914,st_struct_pedestal/67876
ug_route/165588,OSP:BUSP::10069941,st_struct_pedestal/67949,mywcom_route_junction/20925
ug_route/165589,OSP:BUSP:C645843,st_struct_pedestal/69934,st_struct_pedestal/70272
ug_route/165590,OSP:BUSP::13026234,st_struct_pedestal/67405,building/51123
ug_route/165591,OSP:BUSP:C670061,st_struct_pedestal/69999,st_struct_pedestal/69616
ug_route/165592,OSP:BUSP:C639682,st_struct_pedestal/68427,building/50836
ug_route/165593,OSP:BUSP:C648588,st_struct_pedestal/67666,building/48938
ug_route/165594,OSP:BUSP:C657531,st_struct_pedestal/70478,st_struct_pedestal/67862
ug_route/165595,OSP:BUSP:C655523,st_struct_pedestal/69608,st_struct_pedestal/68104
ug_route/165596,OSP:FBSP::13060342,st_struct_pedestal/69458,st_struct_pedestal/69430
ug_route/165597,OSP:BUSP:C656849,mywcom_route_junction/21196,mywcom_route_junction/21744
